room,floor,roomType,ficm,specialty,asf,seats,asfPerSeat,courseCount,seatOccupancy,weeklyHours,hoursPercent,comment,departments
MH111,1,General-Purpose Classroom,FICM 100,,724,36,20.1,11,55,29.7,80,,School of Liberal Arts; School of Business; School of Social & Behavioral Sciences; School of Health & Natural Sciences; School of Nursing
MH113,1,General-Purpose Classroom,FICM 100,,1558,36,43.3,12,50,32.8,88,,School of Social & Behavioral Sciences; School of Liberal Arts; School of Health & Natural Sciences
MH200,2,General-Purpose Classroom,FICM 100,,277,15,18.5,3,73,7.1,19,,School of Liberal Arts; School of Social & Behavioral Sciences
MH201,2,General-Purpose Classroom,FICM 100,,359,20,18.0,12,83,32.4,87,,School of Liberal Arts; School of Business; School of Social & Behavioral Sciences
MH202,2,General-Purpose Classroom,FICM 100,,368,24,15.3,12,81,36.2,97,,School of Liberal Arts; School of Social & Behavioral Sciences; School of Health & Natural Sciences
MH203,2,General-Purpose Classroom,FICM 100,,370,20,18.5,11,76,29.4,79,,School of Liberal Arts; School of Social & Behavioral Sciences
MH204,2,General-Purpose Classroom,FICM 100,,357,20,17.9,12,80,33.3,89,,School of Liberal Arts
MH205,2,General-Purpose Classroom,FICM 100,,608,30,20.3,12,77,31.3,84,,School of Health & Natural Sciences; School of Liberal Arts; School of Social & Behavioral Sciences; School of Business
MH206,2,General-Purpose Classroom,FICM 100,,341,18,18.9,6,56,13.8,37,,School of Social & Behavioral Sciences; School of Health & Natural Sciences; School of Liberal Arts
MH211,2,General-Purpose Classroom,FICM 100,,910,42,21.7,14,55,35.8,96,,School of Health & Natural Sciences; School of Nursing; School of Liberal Arts; School of Business; School of Education
MH213,2,General-Purpose Classroom,FICM 100,,950,30,31.7,12,60,32.7,88,,School of Liberal Arts; School of Social & Behavioral Sciences; School of Business; School of Health & Natural Sciences
MH219,2,General-Purpose Classroom,FICM 100,,309,18,17.2,8,88,22.7,61,,School of Liberal Arts; School of Social & Behavioral Sciences
MH236,2,General-Purpose Classroom,FICM 100,,363,18,20.2,6,83,17.0,46,,School of Liberal Arts; School of Business
MH238,2,General-Purpose Classroom,FICM 100,,564,30,18.8,10,58,30.2,81,,School of Health & Natural Sciences; School of Liberal Arts; School of Social & Behavioral Sciences
