room,building,roomType,ficm,taxonomy,taxonomyLabel,asf,seats,asfPerSeat,courseCount,seatOccupancy,weeklyHours,hoursPercent,utilization,comment
MEH030,Mercy Hall,General-Purpose Classroom,FICM 100,C,C · 19–36 seats,658,30,21.9,5,47,14,38,38,
MEH031,Mercy Hall,General-Purpose Classroom,FICM 100,D,D · 37–74 seats,920,48,19.2,9,36,25.3,68,68,
MEH032,Mercy Hall,General-Purpose Classroom,FICM 100,D,D · 37–74 seats,909,48,18.9,11,59,30.3,81,81,
MH111,Main Hall,General-Purpose Classroom,FICM 100,C,C · 19–36 seats,724,36,20.1,11,55,29.7,80,80,
MH113,Main Hall,General-Purpose Classroom,FICM 100,C,C · 19–36 seats,1558,36,43.3,12,50,32.8,88,88,
MH200,Main Hall,General-Purpose Classroom,FICM 100,B,B · 13–18 seats,277,15,18.5,3,73,7.1,19,19,
MH201,Main Hall,General-Purpose Classroom,FICM 100,C,C · 19–36 seats,359,20,18,12,83,32.4,87,87,
MH202,Main Hall,General-Purpose Classroom,FICM 100,C,C · 19–36 seats,368,24,15.3,12,81,36.2,97,97,
MH203,Main Hall,General-Purpose Classroom,FICM 100,C,C · 19–36 seats,370,20,18.5,11,76,29.4,79,79,
MH204,Main Hall,General-Purpose Classroom,FICM 100,C,C · 19–36 seats,357,20,17.9,12,80,33.3,89,89,
MH205,Main Hall,General-Purpose Classroom,FICM 100,C,C · 19–36 seats,608,30,20.3,12,77,31.3,84,84,
MH206,Main Hall,General-Purpose Classroom,FICM 100,B,B · 13–18 seats,341,18,18.9,6,56,13.8,37,37,
MH211,Main Hall,General-Purpose Classroom,FICM 100,D,D · 37–74 seats,910,42,21.7,14,55,35.8,96,96,
MH213,Main Hall,General-Purpose Classroom,FICM 100,C,C · 19–36 seats,950,30,31.7,12,60,32.7,88,88,
MH219,Main Hall,General-Purpose Classroom,FICM 100,B,B · 13–18 seats,309,18,17.2,8,88,22.7,61,61,
MH236,Main Hall,General-Purpose Classroom,FICM 100,B,B · 13–18 seats,363,18,20.2,6,83,17,46,46,
MH238,Main Hall,General-Purpose Classroom,FICM 100,C,C · 19–36 seats,564,30,18.8,10,58,30.2,81,81,
MH240,Main Hall,General-Purpose Classroom,FICM 100,C,C · 19–36 seats,564,30,18.8,10,63,29.3,79,79,
MH241,Main Hall,General-Purpose Classroom,FICM 100,C,C · 19–36 seats,563,30,18.8,13,68,35,94,94,
MH242,Main Hall,General-Purpose Classroom,FICM 100,C,C · 19–36 seats,610,35,17.4,10,63,24.7,66,66,
MH280,Main Hall,General-Purpose Classroom,FICM 100,C,C · 19–36 seats,665,32,20.8,9,57,24.9,67,67,
MH310,Main Hall,General-Purpose Classroom,FICM 100,C,C · 19–36 seats,555,29,19.1,11,75,28.9,77,77,
MH312,Main Hall,General-Purpose Classroom,FICM 100,C,C · 19–36 seats,558,24,23.3,11,79,30.8,83,83,
MH316,Main Hall,General-Purpose Classroom,FICM 100,B,B · 13–18 seats,375,18,20.8,7,80,19.7,53,53,
MH324,Main Hall,General-Purpose Classroom,FICM 100,C,C · 19–36 seats,562,30,18.7,9,77,24.8,66,66,
